text,label,type,language,category,difficulty,generation_type
"Your account verification is pending. Confirm through the attached secure form within 2 hours to prevent suspension.",scam,sms,english,bank_otp_fraud,easy,synthetic
"محترم صارف، آپ کے امدادی وظیفے کی رقم منظور ہو گئی ہے۔ وصولی کے لیے تصدیقی فیس جمع کروائیں۔",scam,sms,urdu_script,bisp_ehsaas_fraud,easy,synthetic
"Apka parcel customs me rok diya gaya hai, choti si fee pay kr k delivery release krwaen.",scam,sms,roman_urdu,courier_customs_fee,easy,synthetic
"Congratulations! Your mobile number has won a cash reward. Pay the processing charge to claim it.",scam,sms,english,lottery_prize,easy,synthetic
"آپ کے بجلی کے بل کی ادائیگی ناکام ہے، کنکشن منقطع ہونے سے پہلے لنک کھول کر دوبارہ ادائیگی کریں۔",scam,sms,urdu_script,utility_bill_scam,borderline,synthetic
"Sir apka wallet security check k liye temporarily hold hai, agent ko verification amount bhej dein phir balance unlock ho jayega.",scam,call_transcript,roman_urdu,sim_balance_scam,borderline,synthetic
"[Caller]: Hello, main technical support se bol raha hoon. [Recipient]: Ji? [Caller]: Aap ke phone par security issue detect hua hai. Remote app install kar dein, main system clean kar deta hoon.",scam,call_transcript,english,tech_support_scam,easy,synthetic
"[Caller]: Assalam o Alaikum, main agency office se bol raha hoon. [Recipient]: Kis silsilay mein? [Caller]: Aap ke khilaf complaint hai. Agar abhi settlement fee transfer na ki to case aage bhej diya jayega.",scam,call_transcript,mixed,fia_impersonation,borderline,synthetic
"Ap ne online job k liye apply kiya tha na? Selection ho gai hai, bas registration charges jama krwa dein phir offer letter WhatsApp pe aa jayega.",scam,sms,roman_urdu,advance_fee_scam,easy,synthetic
"Your property investment application has been approved. Send a refundable reservation amount today to secure the plot.",scam,sms,english,real_estate_scam,borderline,synthetic
"[Caller]: Jee bas ek QR code scan karna hai. [Recipient]: Payment ke liye? [Caller]: Nahi nahi, sirf verification hai. [Recipient]: Is mein amount kyun aa raha hai? [Caller]: System aise hi confirm karta hai.",scam,call_transcript,mixed,qr_phishing,hard,synthetic
"Apki marketplace sale ka payment pending hy. Buyer ne transfer kr diya hai, refund verification k liye QR scan kr dein.",scam,sms,roman_urdu,olx_marketplace,hard,synthetic
"[Caller]: Main delivery rider hoon, aapka parcel gate par hai. [Recipient]: Maine kuch order nahi kiya. [Caller]: Ji system mein naam aa raha hai, cancellation ke liye choti payment karni hogi.",scam,call_transcript,roman_urdu,bykea_delivery_scam,borderline,synthetic
"Dear candidate, your LinkedIn application has moved to final review. Purchase the required onboarding certificate before interview scheduling.",scam,sms,english,linkedin_job_scam,hard,synthetic
"آپ کے اکاؤنٹ سے مشکوک لاگ اِن ہوا ہے۔ تصدیق کے لیے اپنا OTP نمائندے کو بتائیں، ورنہ اکاؤنٹ بند ہو جائے گا۔",scam,sms,urdu_script,bank_otp_fraud,borderline,synthetic
